Round;Time death (s);Killer;Killer side;Killer team;Killer bot;Killer blinded;Victim;Victim side;Victim team;Victim_blinded;Weapon;Headshot;Crouching;Trade_kill
34;78,39;m0NESY;CT;G2 Esports;FALSE;FALSE;ropz;T;FaZe Clan;FALSE;AWP;FALSE;FALSE;FALSE
34;81,05;m0NESY;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;FALSE;AWP;FALSE;FALSE;FALSE
34;82,02;broky;T;FaZe Clan;FALSE;FALSE;m0NESY;CT;G2 Esports;FALSE;AWP;FALSE;FALSE;TRUE
34;86,2;karrigan;T;FaZe Clan;FALSE;FALSE;jks;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
34;118,12;NiKo;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;FALSE;M4A4;TRUE;FALSE;FALSE
34;121,71;broky;T;FaZe Clan;FALSE;FALSE;huNter;CT;G2 Esports;FALSE;P250;TRUE;FALSE;FALSE
34;122,95;NiKo;CT;G2 Esports;FALSE;FALSE;broky;T;FaZe Clan;FALSE;M4A4;FALSE;FALSE;TRUE
35;21,42;Twistzz;T;FaZe Clan;FALSE;FALSE;HooXi;CT;G2 Esports;TRUE;AK-47;TRUE;TRUE;FALSE
35;22,84;NiKo;CT;G2 Esports;FALSE;TRUE;Twistzz;T;FaZe Clan;FALSE;AK-47;TRUE;FALSE;TRUE
35;22,98;broky;T;FaZe Clan;FALSE;FALSE;NiKo;CT;G2 Esports;TRUE;Incendiary;FALSE;TRUE;TRUE
35;47,62;m0NESY;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;FALSE;AWP;FALSE;FALSE;FALSE
35;56,66;broky;T;FaZe Clan;FALSE;FALSE;huNter;CT;G2 Esports;FALSE;AWP;FALSE;FALSE;FALSE
35;84,77;ropz;T;FaZe Clan;FALSE;FALSE;m0NESY;CT;G2 Esports;FALSE;AK-47;FALSE;FALSE;FALSE
35;92,39;ropz;T;FaZe Clan;FALSE;FALSE;jks;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
36;16,56;huNter;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;FALSE;M4A1-S;TRUE;FALSE;FALSE
36;38,46;HooXi;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;FALSE;M4A4;TRUE;FALSE;FALSE
36;45,84;ropz;T;FaZe Clan;FALSE;FALSE;m0NESY;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
36;70,12;broky;T;FaZe Clan;FALSE;FALSE;NiKo;CT;G2 Esports;FALSE;AWP;FALSE;TRUE;FALSE
36;87,45;ropz;T;FaZe Clan;FALSE;FALSE;HooXi;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
36;100,69;broky;T;FaZe Clan;FALSE;FALSE;huNter;CT;G2 Esports;FALSE;AWP;FALSE;FALSE;FALSE
36;108,06;jks;CT;G2 Esports;FALSE;FALSE;Twistzz;T;FaZe Clan;FALSE;M4A4;FALSE;FALSE;FALSE
36;108,71;broky;T;FaZe Clan;FALSE;FALSE;jks;CT;G2 Esports;FALSE;AWP;FALSE;FALSE;TRUE
