Round;Time death (s);Killer;Killer side;Killer team;Killer bot;Killer blinded;Victim;Victim side;Victim team;Victim_blinded;Weapon;Headshot;Crouching;Trade_kill
12;67,86;ropz;T;FaZe Clan;FALSE;FALSE;huNter;CT;G2 Esports;TRUE;AK-47;TRUE;FALSE;FALSE
12;69,03;broky;T;FaZe Clan;FALSE;TRUE;NiKo;CT;G2 Esports;FALSE;AWP;FALSE;TRUE;FALSE
12;69,62;m0NESY;CT;G2 Esports;FALSE;TRUE;broky;T;FaZe Clan;TRUE;AWP;FALSE;FALSE;TRUE
12;76,97;ropz;T;FaZe Clan;FALSE;FALSE;HooXi;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
12;82,62;m0NESY;CT;G2 Esports;FALSE;FALSE;Twistzz;T;FaZe Clan;FALSE;AWP;FALSE;FALSE;FALSE
12;84,35;ropz;T;FaZe Clan;FALSE;FALSE;m0NESY;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;TRUE
12;102,34;jks;CT;G2 Esports;FALSE;FALSE;ropz;T;FaZe Clan;FALSE;M4A4;TRUE;FALSE;FALSE
13;49,25;ropz;T;FaZe Clan;FALSE;TRUE;huNter;CT;G2 Esports;FALSE;Tec-9;TRUE;FALSE;FALSE
13;50,32;jks;CT;G2 Esports;FALSE;FALSE;ropz;T;FaZe Clan;TRUE;M4A4;FALSE;FALSE;TRUE
13;50,95;jks;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;FALSE;M4A4;TRUE;FALSE;FALSE
13;62,05;m0NESY;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;FALSE;AWP;FALSE;FALSE;FALSE
13;64,8;jks;CT;G2 Esports;FALSE;FALSE;Twistzz;T;FaZe Clan;FALSE;M4A4;TRUE;FALSE;FALSE
13;106,8;m0NESY;CT;G2 Esports;FALSE;FALSE;broky;T;FaZe Clan;FALSE;AWP;FALSE;FALSE;FALSE
14;84,1;ropz;T;FaZe Clan;FALSE;FALSE;HooXi;CT;G2 Esports;FALSE;AK-47;TRUE;TRUE;FALSE
14;114,57;karrigan;T;FaZe Clan;FALSE;FALSE;NiKo;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
14;115,07;karrigan;T;FaZe Clan;FALSE;FALSE;huNter;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
14;117,07;karrigan;T;FaZe Clan;FALSE;FALSE;jks;CT;G2 Esports;FALSE;AK-47;FALSE;FALSE;FALSE
14;120,87;m0NESY;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;FALSE;Desert Eagle;TRUE;FALSE;TRUE
14;122,51;m0NESY;CT;G2 Esports;FALSE;FALSE;ropz;T;FaZe Clan;FALSE;Desert Eagle;TRUE;FALSE;FALSE
14;124,95;rain;T;FaZe Clan;FALSE;FALSE;m0NESY;CT;G2 Esports;FALSE;AK-47;FALSE;FALSE;TRUE
15;38,68;karrigan;T;FaZe Clan;FALSE;FALSE;huNter;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
15;60,38;karrigan;T;FaZe Clan;FALSE;FALSE;NiKo;CT;G2 Esports;FALSE;AK-47;FALSE;FALSE;FALSE
15;62,34;HooXi;CT;G2 Esports;FALSE;FALSE;karrigan;T;FaZe Clan;TRUE;M4A4;FALSE;FALSE;TRUE
15;63,34;HooXi;CT;G2 Esports;FALSE;FALSE;rain;T;FaZe Clan;FALSE;M4A4;TRUE;FALSE;FALSE
15;108,97;Twistzz;T;FaZe Clan;FALSE;FALSE;m0NESY;CT;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
15;111,88;broky;T;FaZe Clan;FALSE;FALSE;HooXi;CT;G2 Esports;FALSE;AWP;FALSE;FALSE;FALSE
15;127,01;ropz;T;FaZe Clan;FALSE;FALSE;jks;CT;G2 Esports;FALSE;AK-47;FALSE;FALSE;FALSE
16;43,17;ropz;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;FALSE;USP-S;TRUE;FALSE;FALSE
16;43,59;m0NESY;T;G2 Esports;FALSE;FALSE;ropz;CT;FaZe Clan;FALSE;Glock-18;TRUE;FALSE;TRUE
16;49,57;broky;CT;FaZe Clan;FALSE;FALSE;NiKo;T;G2 Esports;FALSE;USP-S;TRUE;FALSE;FALSE
16;70,77;karrigan;CT;FaZe Clan;FALSE;FALSE;huNter;T;G2 Esports;FALSE;USP-S;TRUE;FALSE;FALSE
16;71,02;jks;T;G2 Esports;FALSE;FALSE;rain;CT;FaZe Clan;FALSE;USP-S;TRUE;FALSE;FALSE
16;74,88;broky;CT;FaZe Clan;FALSE;FALSE;jks;T;G2 Esports;FALSE;USP-S;TRUE;FALSE;TRUE
16;76;m0NESY;T;G2 Esports;FALSE;TRUE;Twistzz;CT;FaZe Clan;FALSE;Glock-18;TRUE;FALSE;FALSE
16;76,24;broky;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;TRUE;USP-S;TRUE;FALSE;TRUE
17;20,4;HooXi;T;G2 Esports;FALSE;TRUE;karrigan;CT;FaZe Clan;TRUE;Tec-9;TRUE;TRUE;FALSE
17;29,49;rain;CT;FaZe Clan;FALSE;TRUE;HooXi;T;G2 Esports;TRUE;MP9;TRUE;TRUE;FALSE
17;29,9;m0NESY;T;G2 Esports;FALSE;TRUE;rain;CT;FaZe Clan;TRUE;AK-47;FALSE;FALSE;TRUE
17;37,37;huNter;T;G2 Esports;FALSE;FALSE;broky;CT;FaZe Clan;FALSE;Galil AR;TRUE;FALSE;FALSE
18;8,91;NiKo;T;G2 Esports;FALSE;FALSE;broky;CT;FaZe Clan;TRUE;Galil AR;TRUE;FALSE;FALSE
18;46,77;Twistzz;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;FALSE;M4A1-S;TRUE;FALSE;FALSE
18;47;ropz;CT;FaZe Clan;FALSE;FALSE;jks;T;G2 Esports;FALSE;MP9;TRUE;FALSE;FALSE
18;48,11;m0NESY;T;G2 Esports;FALSE;FALSE;ropz;CT;FaZe Clan;FALSE;AK-47;FALSE;TRUE;TRUE
18;49,3;m0NESY;T;G2 Esports;FALSE;FALSE;Twistzz;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;TRUE
18;49,96;karrigan;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;FALSE;MP9;TRUE;FALSE;TRUE
18;50,11;huNter;T;G2 Esports;FALSE;FALSE;karrigan;CT;FaZe Clan;FALSE;Galil AR;TRUE;FALSE;TRUE
18;66,42;NiKo;T;G2 Esports;FALSE;FALSE;rain;CT;FaZe Clan;FALSE;Galil AR;FALSE;FALSE;FALSE
19;22,35;rain;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;FALSE;USP-S;TRUE;FALSE;FALSE
19;27,44;huNter;T;G2 Esports;FALSE;FALSE;rain;CT;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
19;27,59;broky;CT;FaZe Clan;FALSE;FALSE;huNter;T;G2 Esports;FALSE;USP-S;TRUE;FALSE;TRUE
19;47,89;m0NESY;T;G2 Esports;FALSE;FALSE;Twistzz;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
19;49,71;NiKo;T;G2 Esports;FALSE;FALSE;karrigan;CT;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
19;102,02;NiKo;T;G2 Esports;FALSE;FALSE;ropz;CT;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
20;28,66;NiKo;T;G2 Esports;FALSE;TRUE;karrigan;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
20;28,66;NiKo;T;G2 Esports;FALSE;TRUE;rain;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
20;38,62;jks;T;G2 Esports;FALSE;FALSE;ropz;CT;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
20;41,17;broky;CT;FaZe Clan;FALSE;FALSE;jks;T;G2 Esports;FALSE;AK-47;TRUE;FALSE;TRUE
20;81,27;Twistzz;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;FALSE;M4A4;FALSE;FALSE;FALSE
20;94,22;NiKo;T;G2 Esports;FALSE;FALSE;Twistzz;CT;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
21;34,94;rain;CT;FaZe Clan;FALSE;TRUE;HooXi;T;G2 Esports;TRUE;AK-47;FALSE;TRUE;FALSE
21;36,23;rain;CT;FaZe Clan;FALSE;TRUE;NiKo;T;G2 Esports;FALSE;AK-47;FALSE;FALSE;FALSE
21;37,91;huNter;T;G2 Esports;FALSE;FALSE;rain;CT;FaZe Clan;TRUE;AK-47;TRUE;FALSE;TRUE
21;38,17;karrigan;CT;FaZe Clan;FALSE;FALSE;huNter;T;G2 Esports;FALSE;Five-SeveN;TRUE;TRUE;TRUE
21;85,81;jks;T;G2 Esports;FALSE;FALSE;karrigan;CT;FaZe Clan;FALSE;Incendiary;FALSE;FALSE;FALSE
21;98,23;jks;T;G2 Esports;FALSE;FALSE;Twistzz;CT;FaZe Clan;FALSE;AK-47;TRUE;TRUE;FALSE
21;117,73;ropz;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;FALSE;MP9;TRUE;FALSE;FALSE
21;119,53;broky;CT;FaZe Clan;FALSE;FALSE;jks;T;G2 Esports;FALSE;AWP;FALSE;FALSE;FALSE
22;52,27;karrigan;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;TRUE;M4A4;FALSE;FALSE;FALSE
22;54,56;huNter;T;G2 Esports;FALSE;TRUE;broky;CT;FaZe Clan;TRUE;AK-47;FALSE;FALSE;FALSE
22;54,92;karrigan;CT;FaZe Clan;FALSE;FALSE;huNter;T;G2 Esports;TRUE;M4A4;TRUE;FALSE;TRUE
22;74,97;NiKo;T;G2 Esports;FALSE;FALSE;karrigan;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
22;78,2;ropz;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
22;80,47;jks;T;G2 Esports;FALSE;FALSE;ropz;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;TRUE
22;97,74;Twistzz;CT;FaZe Clan;FALSE;FALSE;NiKo;T;G2 Esports;FALSE;M4A4;FALSE;TRUE;FALSE
22;99,55;rain;CT;FaZe Clan;FALSE;FALSE;jks;T;G2 Esports;FALSE;M4A1-S;TRUE;FALSE;FALSE
23;64,73;rain;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;FALSE;M4A1-S;TRUE;FALSE;FALSE
23;66,26;m0NESY;T;G2 Esports;FALSE;FALSE;rain;CT;FaZe Clan;FALSE;Desert Eagle;TRUE;FALSE;TRUE
23;79,07;Twistzz;CT;FaZe Clan;FALSE;FALSE;jks;T;G2 Esports;FALSE;M4A4;TRUE;FALSE;FALSE
23;79,77;huNter;T;G2 Esports;FALSE;FALSE;Twistzz;CT;FaZe Clan;FALSE;Galil AR;TRUE;TRUE;TRUE
23;82,88;ropz;CT;FaZe Clan;FALSE;FALSE;huNter;T;G2 Esports;FALSE;MP9;TRUE;FALSE;TRUE
23;92,34;karrigan;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;FALSE;M4A1-S;FALSE;FALSE;FALSE
23;97,03;NiKo;T;G2 Esports;FALSE;FALSE;karrigan;CT;FaZe Clan;FALSE;M4A1-S;TRUE;FALSE;FALSE
23;115,99;broky;CT;FaZe Clan;FALSE;FALSE;NiKo;T;G2 Esports;FALSE;AWP;FALSE;FALSE;FALSE
24;31,52;ropz;CT;FaZe Clan;FALSE;FALSE;jks;T;G2 Esports;FALSE;M4A4;FALSE;TRUE;FALSE
24;31,88;huNter;T;G2 Esports;FALSE;FALSE;ropz;CT;FaZe Clan;FALSE;AK-47;FALSE;TRUE;TRUE
24;61,45;HooXi;T;G2 Esports;FALSE;TRUE;rain;CT;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
24;76,3;Twistzz;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;FALSE;M4A4;TRUE;FALSE;FALSE
24;76,45;NiKo;T;G2 Esports;FALSE;FALSE;karrigan;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
24;76,71;Twistzz;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;FALSE;M4A4;FALSE;FALSE;FALSE
24;77,69;Twistzz;CT;FaZe Clan;FALSE;FALSE;NiKo;T;G2 Esports;FALSE;M4A4;TRUE;FALSE;TRUE
24;95,52;huNter;T;G2 Esports;FALSE;FALSE;Twistzz;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
24;105,73;huNter;T;G2 Esports;FALSE;FALSE;broky;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
25;31,9;karrigan;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;FALSE;Five-SeveN;TRUE;FALSE;FALSE
25;34,98;broky;CT;FaZe Clan;FALSE;FALSE;huNter;T;G2 Esports;FALSE;M4A1-S;FALSE;FALSE;FALSE
25;35,38;jks;T;G2 Esports;FALSE;FALSE;broky;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;TRUE
25;39,36;Twistzz;CT;FaZe Clan;FALSE;FALSE;NiKo;T;G2 Esports;FALSE;CZ75-Auto;FALSE;FALSE;FALSE
25;47,31;ropz;CT;FaZe Clan;FALSE;FALSE;jks;T;G2 Esports;FALSE;HE Grenade;FALSE;FALSE;FALSE
25;58,8;rain;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;FALSE;MP9;FALSE;FALSE;FALSE
26;18,23;ropz;CT;FaZe Clan;FALSE;FALSE;huNter;T;G2 Esports;FALSE;M4A4;TRUE;FALSE;FALSE
26;27,73;Twistzz;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;FALSE;AK-47;FALSE;TRUE;FALSE
26;28,47;broky;CT;FaZe Clan;FALSE;FALSE;jks;T;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
26;30,9;Twistzz;CT;FaZe Clan;FALSE;FALSE;NiKo;T;G2 Esports;FALSE;AK-47;TRUE;FALSE;FALSE
26;31,4;HooXi;T;G2 Esports;FALSE;FALSE;Twistzz;CT;FaZe Clan;FALSE;P250;TRUE;FALSE;TRUE
26;31,82;ropz;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;FALSE;M4A4;FALSE;TRUE;TRUE
27;18,74;HooXi;T;G2 Esports;FALSE;FALSE;broky;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
27;24,55;Twistzz;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;FALSE;AK-47;FALSE;FALSE;FALSE
27;27,74;NiKo;T;G2 Esports;FALSE;FALSE;karrigan;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
27;28,59;jks;T;G2 Esports;FALSE;FALSE;ropz;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
27;32,77;jks;T;G2 Esports;FALSE;FALSE;Twistzz;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
28;64,94;NiKo;T;G2 Esports;FALSE;FALSE;rain;CT;FaZe Clan;TRUE;AK-47;TRUE;TRUE;FALSE
28;75,35;HooXi;T;G2 Esports;FALSE;FALSE;Twistzz;CT;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
28;75,73;m0NESY;T;G2 Esports;FALSE;FALSE;karrigan;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
28;75,95;HooXi;T;G2 Esports;FALSE;FALSE;ropz;CT;FaZe Clan;FALSE;AK-47;TRUE;TRUE;FALSE
28;80,7;broky;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;FALSE;AWP;FALSE;FALSE;FALSE
28;89,06;broky;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;FALSE;AWP;FALSE;FALSE;FALSE
28;130,09;NiKo;T;G2 Esports;FALSE;FALSE;broky;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
29;63,84;NiKo;T;G2 Esports;FALSE;FALSE;karrigan;CT;FaZe Clan;FALSE;AK-47;FALSE;TRUE;FALSE
29;71,5;NiKo;T;G2 Esports;FALSE;FALSE;rain;CT;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
29;72,49;m0NESY;T;G2 Esports;FALSE;FALSE;Twistzz;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
29;87,74;ropz;CT;FaZe Clan;FALSE;FALSE;NiKo;T;G2 Esports;FALSE;Five-SeveN;TRUE;FALSE;FALSE
30;80,52;broky;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;FALSE;AWP;FALSE;FALSE;FALSE
30;81,71;ropz;CT;FaZe Clan;FALSE;FALSE;huNter;T;G2 Esports;FALSE;AK-47;TRUE;TRUE;FALSE
30;83,96;jks;T;G2 Esports;FALSE;FALSE;ropz;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;TRUE
30;87,51;jks;T;G2 Esports;FALSE;FALSE;broky;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
30;89,68;Twistzz;CT;FaZe Clan;FALSE;FALSE;NiKo;T;G2 Esports;TRUE;M4A4;FALSE;TRUE;FALSE
30;90,53;jks;T;G2 Esports;FALSE;TRUE;Twistzz;CT;FaZe Clan;FALSE;AK-47;FALSE;FALSE;TRUE
30;112,88;karrigan;CT;FaZe Clan;FALSE;FALSE;jks;T;G2 Esports;FALSE;M4A4;TRUE;FALSE;FALSE
30;115,68;rain;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;FALSE;M4A1-S;FALSE;FALSE;FALSE
31;12,29;NiKo;T;G2 Esports;FALSE;TRUE;karrigan;CT;FaZe Clan;TRUE;AK-47;FALSE;FALSE;FALSE
31;17,25;huNter;T;G2 Esports;FALSE;TRUE;broky;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
31;18,41;ropz;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;FALSE;M4A4;TRUE;TRUE;FALSE
31;19,03;ropz;CT;FaZe Clan;FALSE;FALSE;HooXi;T;G2 Esports;TRUE;M4A4;FALSE;FALSE;FALSE
31;19,26;jks;T;G2 Esports;FALSE;FALSE;ropz;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;TRUE
31;31,83;NiKo;T;G2 Esports;FALSE;FALSE;rain;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
31;54,33;huNter;T;G2 Esports;FALSE;FALSE;Twistzz;CT;FaZe Clan;FALSE;AK-47;TRUE;TRUE;FALSE
32;29,45;broky;CT;FaZe Clan;FALSE;TRUE;NiKo;T;G2 Esports;TRUE;AWP;FALSE;FALSE;FALSE
32;35,97;HooXi;T;G2 Esports;FALSE;FALSE;rain;CT;FaZe Clan;TRUE;AK-47;TRUE;TRUE;FALSE
32;42,63;HooXi;T;G2 Esports;FALSE;FALSE;karrigan;CT;FaZe Clan;FALSE;AK-47;TRUE;TRUE;FALSE
32;44,85;broky;CT;FaZe Clan;FALSE;TRUE;HooXi;T;G2 Esports;FALSE;HE Grenade;FALSE;FALSE;TRUE
32;56,68;broky;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;FALSE;AWP;FALSE;FALSE;FALSE
32;58,76;huNter;T;G2 Esports;FALSE;FALSE;broky;CT;FaZe Clan;FALSE;Incendiary;FALSE;TRUE;TRUE
32;81,41;Twistzz;CT;FaZe Clan;FALSE;FALSE;jks;T;G2 Esports;FALSE;M4A4;TRUE;FALSE;FALSE
32;82,06;huNter;T;G2 Esports;FALSE;FALSE;Twistzz;CT;FaZe Clan;FALSE;AWP;FALSE;FALSE;TRUE
32;82,53;ropz;CT;FaZe Clan;FALSE;FALSE;huNter;T;G2 Esports;FALSE;M4A1-S;FALSE;FALSE;TRUE
33;34,55;rain;CT;FaZe Clan;FALSE;FALSE;NiKo;T;G2 Esports;FALSE;M4A1-S;FALSE;FALSE;FALSE
33;40,26;rain;CT;FaZe Clan;FALSE;TRUE;HooXi;T;G2 Esports;TRUE;M4A1-S;TRUE;FALSE;FALSE
33;44,27;jks;T;G2 Esports;FALSE;TRUE;rain;CT;FaZe Clan;FALSE;AK-47;FALSE;FALSE;FALSE
33;46,91;huNter;T;G2 Esports;FALSE;FALSE;broky;CT;FaZe Clan;FALSE;AK-47;TRUE;FALSE;FALSE
33;58,1;karrigan;CT;FaZe Clan;FALSE;FALSE;huNter;T;G2 Esports;FALSE;M4A4;TRUE;TRUE;FALSE
33;58,69;Twistzz;CT;FaZe Clan;FALSE;FALSE;jks;T;G2 Esports;FALSE;M4A4;TRUE;TRUE;FALSE
33;59,04;Twistzz;CT;FaZe Clan;FALSE;FALSE;m0NESY;T;G2 Esports;FALSE;M4A4;FALSE;TRUE;FALSE
34;57,27;Twistzz;T;FaZe Clan;FALSE;FALSE;HooXi;CT;G2 Esports;FALSE;AK-47;FALSE;FALSE;FALSE
34;68,25;NiKo;CT;G2 Esports;FALSE;FALSE;Twistzz;T;FaZe Clan;FALSE;M4A4;FALSE;FALSE;FALSE
