Round;Time death (s);Killer;Killer side;Killer team;Killer blinded;Victim;Victim side;Victim team;Victim_blinded;Weapon;Headshot;Crouching;Trade_kill
16;58,83;NiT0.;T;UKF E-Sports ;FALSE;Skalw0;CT;UCM Tedi Echo;FALSE;Glock-18;FALSE;TRUE;TRUE
16;60,89;.Not1ce;CT;UCM Tedi Echo;FALSE;NiT0.;T;UKF E-Sports ;FALSE;USP-S;TRUE;FALSE;TRUE
16;67,88;Addixx;CT;UCM Tedi Echo;FALSE;Newstartik;T;UKF E-Sports ;FALSE;USP-S;TRUE;FALSE;FALSE
17;33,56;Skalw0;CT;UCM Tedi Echo;FALSE;Newstartik;T;UKF E-Sports ;FALSE;UMP-45;TRUE;FALSE;FALSE
17;53,91;Skalw0;CT;UCM Tedi Echo;FALSE;zuluuu;T;UKF E-Sports ;TRUE;UMP-45;FALSE;FALSE;FALSE
17;55,67;Kolardo;CT;UCM Tedi Echo;FALSE;naboj1;T;UKF E-Sports ;FALSE;MP9;FALSE;FALSE;FALSE
17;58,53;Skalw0;CT;UCM Tedi Echo;FALSE;NepriateL;T;UKF E-Sports ;FALSE;UMP-45;TRUE;FALSE;FALSE
17;69,67;Kolardo;CT;UCM Tedi Echo;FALSE;NiT0.;T;UKF E-Sports ;FALSE;MP9;TRUE;FALSE;FALSE
18;26,17;Addixx;CT;UCM Tedi Echo;FALSE;NiT0.;T;UKF E-Sports ;TRUE;M4A1-S;TRUE;FALSE;FALSE
18;54,22;naboj1;T;UKF E-Sports ;FALSE;Skalw0;CT;UCM Tedi Echo;FALSE;AK-47;TRUE;TRUE;FALSE
18;60,23;zuluuu;T;UKF E-Sports ;FALSE;.Not1ce;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
18;69,92;zuluuu;T;UKF E-Sports ;FALSE;Kolardo;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
18;77,25;NepriateL;T;UKF E-Sports ;FALSE;s666s;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;TRUE;FALSE
18;84,7;Addixx;CT;UCM Tedi Echo;FALSE;zuluuu;T;UKF E-Sports ;FALSE;M4A1-S;TRUE;FALSE;FALSE
19;14,12;NiT0.;T;UKF E-Sports ;FALSE;Kolardo;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
19;37,16;Skalw0;CT;UCM Tedi Echo;FALSE;NiT0.;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;FALSE;FALSE
19;45,16;Addixx;CT;UCM Tedi Echo;FALSE;naboj1;T;UKF E-Sports ;TRUE;M4A1-S;FALSE;TRUE;FALSE
19;50,69;s666s;CT;UCM Tedi Echo;FALSE;zuluuu;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;FALSE;FALSE
19;67,89;Skalw0;CT;UCM Tedi Echo;FALSE;Newstartik;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;FALSE;FALSE
19;74,22;NepriateL;T;UKF E-Sports ;FALSE;Skalw0;CT;UCM Tedi Echo;FALSE;AK-47;TRUE;FALSE;FALSE
19;77,91;.Not1ce;CT;UCM Tedi Echo;FALSE;NepriateL;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;FALSE;TRUE
20;31,5;Addixx;CT;UCM Tedi Echo;FALSE;zuluuu;T;UKF E-Sports ;FALSE;M4A1-S;TRUE;FALSE;FALSE
20;31,64;Newstartik;T;UKF E-Sports ;FALSE;Skalw0;CT;UCM Tedi Echo;FALSE;Desert Eagle;TRUE;FALSE;FALSE
20;43,62;Kolardo;CT;UCM Tedi Echo;FALSE;NiT0.;T;UKF E-Sports ;FALSE;AK-47;TRUE;FALSE;FALSE
20;55,72;s666s;CT;UCM Tedi Echo;FALSE;NepriateL;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;FALSE;FALSE
20;71,96;Newstartik;T;UKF E-Sports ;FALSE;Kolardo;CT;UCM Tedi Echo;TRUE;M4A1-S;FALSE;FALSE;FALSE
20;76,8;Addixx;CT;UCM Tedi Echo;FALSE;naboj1;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;FALSE;FALSE
20;86,23;s666s;CT;UCM Tedi Echo;FALSE;Newstartik;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;FALSE;FALSE
21;12,98;zuluuu;T;UKF E-Sports ;TRUE;Kolardo;CT;UCM Tedi Echo;FALSE;AK-47;TRUE;FALSE;FALSE
21;34,86;Skalw0;CT;UCM Tedi Echo;FALSE;NiT0.;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;FALSE;FALSE
21;37,92;zuluuu;T;UKF E-Sports ;FALSE;Skalw0;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;TRUE;TRUE
